519020,PRD,Crushing/Grinding/Polishing Workers
519030,PRD,Cutting Workers
519041,PRD,Extruding/Forming/Pressing Setters
519051,PRD,Furnace/Kiln/Oven Operators
519061,PRD,Inspectors/Testers/Sorters
519071,PRD,Jewelers and Precious Stone Workers
519080,PRD,Medical Laboratory Technicians
519111,PRD,Packaging/Filling Machine Operators
519120,PRD,Painting Workers
519151,PRD,Photographic Process Workers
519191,PRD,Adhesive Bonding Machine Operators
519194,PRD,Etchers And Engravers
519195,PRD,Molders/Shapers/Casters
519196,PRD,Paper Goods Machine Setters/Operators
519197,PRD,Tire Builders
519198,PRD,Helpers Production Workers
531000,TRN,Material Moving Supervisors
532010,TRN,Aircraft Pilots And Flight Engineers
532020,TRN,Air Traffic Controllers
532031,TRN,Flight Attendants
533011,TRN,Ambulance Drivers/Attendants
533020,TRN,Bus Drivers
533030,TRN,Driver/Sales Workers And Truck Drivers
533041,TRN,Taxi Drivers And Chauffeurs
533099,TRN,"Motor Vehicle Operators, All Other"
534010,TRN,Locomotive Engineers And Operators
534031,TRN,Railroad Conductors And Yardmasters
535020,TRN,Ship And Boat Captains And Operators
536021,TRN,Parking Lot Attendants
536031,TRN,Automotive/Watercraft Attendants
536051,TRN,Transportation Inspectors
536061,PRS,Transportation Attendants
537021,TRN,Crane And Tower Operators
537030,TRN,Dredge/Excavating Machine Operators
537051,TRN,Industrial Truck And Tractor Operators
537061,TRN,Cleaners Of Vehicles And Equipment
537062,TRN,Laborers and Material Movers
537063,TRN,Machine Feeders And Offbearers
537064,TRN,"Packers And Packagers, Hand"
537070,TRN,Pumping Station Operators
537081,TRN,Refuse/Recyclable Material Collectors
551010,MIL,Military Officer
552010,MIL,First Line Enlisted Military Supervisors
553010,MIL,Military Tactical Ops/Specialists
559830,MIL,"Military, Rank Not Specified"
999920,NA,Unemployed
1110XX,MGR,Chief Executives And Legislators 
119XXX,MGR,Misc Managers
15113X,CMM,Software Developers
1520XX,CMM,Misc Mathematical Science Occupations
1720XX,ENG,Biomedical And Agricultural Engineers 
1721XX,ENG,Mining and Geological Engineers
1721YY,ENG,Misc Engineers
1910XX,SCI,Medical/Life Scientists
1930XX,SCI,Misc Social Scientists
1940XX,SCI,Geological/Petrol/Nuclear Technicians
1940YY,SCI,Misc Physical/Social Science Technicians
21109X,CMS,Misc Community/Social Svc Specialists
2310XX,LGL,"Lawyers, Judges, Magistrates"
2590XX,EDU,Other Education/Training Workers
2740XX,ENT,Broadcast/Sound Engineering Technicians
29112X,MED,Other Therapists
2911XX,MED,Nurse Practitioners And Nurse Midwives 
31909X,HLS,Healthcare Support Workers
3330XX,PRT,Miscellaneous Law Enforcement Workers 
33909X,PRT,Lifeguards/Protective Svc Workers
3590XX,EAT,Misc Food Prep/Serving Helpers
37201X,CLN,Janitors And Building Cleaners 
3940XX,PRS,Embalmers And Funeral Attendants 
434XXX,OFF,Correspondence Clerks And Order Clerks 
439XXX,OFF,Misc Office/Admin Support Workers
4520XX,FFF,Misc Agricultural Workers
47207X,CON,Construction Equipment Operators
472XXX,CON,Masons and Iron Workers
4750XX,EXT,Misc Extraction Workers
4750YY,EXT,"Derrick, Drill, and Service Operators"
47XXXX,CON,Misc Construction Workers
49209X,RPR,Electrical and Electronics Repairers
49904X,RPR,Industrial/Refractory Machine Mechanics
4990XX,RPR,Misc Install/Maintenance Workers
5140XX,PRD,Model Makers and Patternmakers
514XXX,PRD,Misc Metal and Plastic Workers
51606X,PRD,Tectile Bleaching/Dying and Setters
51609X,PRD,Misc Textile/Furnishings Workers
5170XX,PRD,Misc Woodworkers
5191XX,PRD,Misc Production Workers
5340XX,TRN,Subway/Rail Transportation Workers
5350XX,TRN,Ship Engineers
5360XX,TRN,Misc Transportation Workers
5370XX,TRN,Conveyor Operators and Tenders
5371XX,TRN,Misc Material Moving Workers
