socp	soc
5371XX	53-7199
551010	55-1011
551010	55-1012
551010	55-1013
551010	55-1014
551010	55-1015
551010	55-1016
551010	55-1017
551010	55-1019
552010	55-2011
552010	55-2012
552010	55-2013
553010	55-3011
553010	55-3012
553010	55-3013
553010	55-3014
553010	55-3015
553010	55-3016
553010	55-3017
553010	55-3018
553010	55-3019
559830	55-3019
