socp	onet
532010	53-2011.00
532010	53-2012.00
532020	53-2021.00
532020	53-2022.00
532031	53-2031.00
533011	53-3011.00
533020	53-3021.00
533020	53-3022.00
533030	53-3031.00
533030	53-3032.00
533030	53-3033.00
533041	53-3041.00
533099	53-3099.00
534010	53-4011.00
534010	53-4012.00
534010	53-4013.00
5340XX	53-4021.00
534031	53-4031.00
5340XX	53-4041.00
5340XX	53-4099.00
5350XX	53-5011.00
535020	53-5021.00
535020	53-5021.01
535020	53-5021.02
535020	53-5021.03
535020	53-5022.00
5350XX	53-5031.00
5360XX	53-6011.00
536021	53-6021.00
536031	53-6031.00
5360XX	53-6041.00
536051	53-6051.00
536051	53-6051.01
536051	53-6051.07
536051	53-6051.08
536061	53-6061.00
5360XX	53-6099.00
5370XX	53-7011.00
537021	53-7021.00
537030	53-7031.00
537030	53-7032.00
537030	53-7033.00
5370XX	53-7041.00
537051	53-7051.00
537061	53-7061.00
537062	53-7062.00
537063	53-7063.00
537064	53-7064.00
537070	53-7071.00
537070	53-7072.00
537070	53-7073.00
537081	53-7081.00
5371XX	53-7111.00
5371XX	53-7121.00
5371XX	53-7199.00
551010	55-1011.00
551010	55-1012.00
551010	55-1013.00
551010	55-1014.00
551010	55-1015.00
551010	55-1016.00
551010	55-1017.00
551010	55-1019.00
552010	55-2011.00
552010	55-2012.00
552010	55-2013.00
553010	55-3011.00
553010	55-3012.00
553010	55-3013.00
553010	55-3014.00
553010	55-3015.00
553010	55-3016.00
553010	55-3017.00
553010	55-3018.00
553010	55-3019.00
559830	55-3019.00
